Date,Open,High,Low,Close,Adj. Close,Change,Volume
"Jan 2, 2026",265,270,261.5,267,267,1.52%,"1,018"
"Dec 31, 2025",268.5,270,255,263,263,-0.94%,"9,685"
"Dec 30, 2025",267.5,270,260,265.5,265.5,-1.12%,"15,106"
"Dec 29, 2025",270,270,263.75,268.5,268.5,0.19%,"4,608"
"Dec 24, 2025",264,270,260,268,268,0.47%,"6,824"
"Dec 23, 2025",269,280,261.25,266.75,266.75,-4.05%,"8,907"
"Dec 22, 2025",290,290,270,278,278,-3.72%,"11,761"
"Dec 19, 2025",300,300,288,288.75,288.75,-3.67%,"1,254,122"
"Dec 18, 2025",290,351,280,299.75,299.75,18.95%,"457,454"
"Dec 17, 2025",235,276,233,252,252,0.30%,"118,473"
"Dec 16, 2025",236,252,235,251.25,251.25,7.03%,"208,445"
"Dec 15, 2025",234,240,232.5,234.75,234.75,0.86%,"30,004"
"Dec 11, 2025",232,234,230,232.75,232.75,0.65%,"12,215"
"Dec 10, 2025",232,234,230.5,231.25,231.25,0.54%,"23,461"
"Dec 9, 2025",232,232,230,230,230,-,"17,288"
"Dec 8, 2025",229,232,220,230,230,2.22%,"63,911"
"Dec 5, 2025",220,232,219,225,225,2.16%,"465,864"
"Dec 4, 2025",220,222.5,215,220.25,220.25,-,"6,965"
"Dec 3, 2025",220.5,221,219,220.25,220.25,0.11%,"7,090"
"Dec 2, 2025",221,221,219.75,220,220,-,"150,766"
"Dec 1, 2025",221,221,220,220,220,-0.68%,"71,471"
"Nov 28, 2025",225.75,225.75,220,221.5,221.5,-1.66%,"28,040"
"Nov 27, 2025",230,230,221,225.25,225.25,-0.22%,"2,795"
"Nov 26, 2025",225.75,230,225.75,225.75,225.75,-,"1,266,307"
"Nov 25, 2025",231,232,225,225.75,225.75,-2.06%,"3,749"
"Nov 24, 2025",233,234,228,230.5,230.5,-1.50%,"2,700"
"Nov 21, 2025",234.5,234.5,232,234,234,-0.43%,"46,069"
"Nov 20, 2025",235,235,232,235,235,-,"43,125"
"Nov 19, 2025",231,235,230,235,235,0.97%,"559,679"
"Nov 18, 2025",232,238.75,227,232.75,232.75,-0.96%,"36,536"
"Nov 17, 2025",235,238.75,232,235,235,-,"37,633"
"Nov 14, 2025",238.5,238.5,232,235,235,-,"141,824"
"Nov 13, 2025",240,240,235,235,235,-2.08%,"420,481"
"Nov 12, 2025",239,244,232,240,240,-0.21%,"369,496"
"Nov 11, 2025",250,250,240,240.5,240.5,-1.43%,"77,017"
"Nov 10, 2025",247,247.75,244,244,244,-0.51%,"126,045"
"Nov 7, 2025",250,250,245,245.25,245.25,0.51%,"33,017"
"Nov 6, 2025",240,246,240,244,244,1.88%,"853,188"
"Nov 5, 2025",235,244,232.75,239.5,239.5,3.23%,"64,039"
"Nov 4, 2025",230,234.5,230,232,232,-,"17,668"
"Nov 3, 2025",235,235,230,232,232,0.11%,"788,598"
"Oct 31, 2025",232,235,228,231.75,231.75,0.22%,"191,946"
"Oct 30, 2025",231,235,228,231.25,231.25,1.31%,"32,645"
"Oct 29, 2025",225,231,222,228.25,228.25,1.90%,"58,742"
"Oct 28, 2025",231,231,220,224,224,-0.99%,"20,034"
"Oct 27, 2025",225,230,222,226.25,226.25,1.80%,"13,585"
"Oct 24, 2025",220.25,225,219.75,222.25,222.25,1.14%,"443,818"
"Oct 23, 2025",218,224,216,219.75,219.75,2.09%,"171,737"
"Oct 22, 2025",215,218,215,215.25,215.25,0.12%,"115,352"
"Oct 21, 2025",215,218,213,215,215,1.18%,"576,578"
"Oct 16, 2025",213,215,206,212.5,212.5,-0.23%,"10,938"
"Oct 15, 2025",215,215,209.75,213,213,-0.58%,"22,838"
"Oct 14, 2025",215,215,212,214.25,214.25,-0.23%,"3,870"
"Oct 13, 2025",217,218,195.5,214.75,214.75,-1.04%,"30,225"
"Oct 9, 2025",218,218,214,217,217,0.12%,"206,600"
"Oct 8, 2025",218,218.75,216.25,216.75,216.75,0.58%,"8,275"
"Oct 7, 2025",214,219,214,215.5,215.5,0.70%,"330,128"
"Oct 6, 2025",214,215,214,214,214,0.47%,"45,313"
"Oct 3, 2025",214,214,213,213,213,-,"143,248"
"Oct 2, 2025",212,214,212,213,213,0.59%,"8,352"
"Oct 1, 2025",211.75,214,211.75,211.75,211.75,0.36%,"39,334"
"Sep 30, 2025",214.75,214.75,210,211,211,-1.40%,"6,555"
"Sep 29, 2025",214.75,214.75,212,214,214,-0.47%,"102,031"
"Sep 26, 2025",215,215,209,215,215,0.47%,"5,396"
"Sep 25, 2025",215,215.25,204,214,214,-0.58%,"82,167"
"Sep 24, 2025",217,218,214.75,215.25,215.25,0.23%,"13,344"
"Sep 23, 2025",212,217,211.5,214.75,214.75,1.42%,"25,321"
"Sep 22, 2025",211,217,211,211.75,211.75,-,"241,794"
"Sep 19, 2025",209,215,209,211.75,211.75,-1.28%,"4,799"
"Sep 18, 2025",210,218,209,214.5,214.5,-2.50%,"154,829"
"Sep 17, 2025",220,220,205,220,220,-,"602,599"
"Sep 16, 2025",219.25,223,218,220,214.5,-1.57%,"31,733"
"Sep 15, 2025",222.25,224.25,220,223.5,217.91,0.22%,"18,106"
"Sep 12, 2025",223,224.5,220,223,217.43,-0.56%,"20,034"
"Sep 11, 2025",221.75,224.5,221.75,224.25,218.64,-0.22%,"51,213"
"Sep 10, 2025",226,227,223,224.75,219.13,0.33%,"453,537"
"Sep 9, 2025",223,225,223,224,218.4,1.01%,"12,551"
"Sep 8, 2025",225.5,235,220,221.75,216.21,-0.11%,"93,557"
"Sep 5, 2025",223.5,226,220,222,216.45,-0.56%,"7,681"
"Sep 4, 2025",223.75,225,219.25,223.25,217.67,-0.56%,"281,858"
"Sep 3, 2025",220,224.75,216,224.5,218.89,2.05%,"717,391"
"Sep 2, 2025",219,225,215,220,214.5,0.80%,"50,760"
"Sep 1, 2025",219,220,218,218.25,212.79,-,"2,682"
"Aug 29, 2025",220,220,218,218.25,212.79,-0.91%,"7,271"
"Aug 28, 2025",223,223,218,220.25,214.74,2.20%,"1,213"
"Aug 27, 2025",220,222,210,215.5,210.11,-2.05%,"2,789"
"Aug 26, 2025",220,222,218,220,214.5,-,"45,753"
"Aug 25, 2025",220,223,219.5,220,214.5,0.92%,"37,524"
"Aug 22, 2025",220,223,212.75,218,212.55,0.81%,"4,892"
"Aug 21, 2025",223,223,209,216.25,210.84,0.35%,"714,390"
"Aug 20, 2025",215,220,211,215.5,210.11,2.01%,"344,061"
"Aug 19, 2025",209.5,219,209,211.25,205.97,2.05%,"418,718"
"Aug 18, 2025",208,209.5,207,207,201.83,-,"221,744"
"Aug 15, 2025",208.5,209,206.5,207,201.83,1.35%,"549,242"
"Aug 14, 2025",200,208.5,200,204.25,199.14,-1.68%,"14,155"
"Aug 13, 2025",209,209.5,200.5,207.75,202.56,-0.12%,"3,725"
"Aug 12, 2025",210,210,200,208,202.8,-0.12%,"122,836"
"Aug 11, 2025",209.5,210,207,208.25,203.04,0.12%,"12,849"
"Aug 8, 2025",208,209.5,207,208,202.8,-0.72%,"236,724"
"Aug 7, 2025",207.75,209.5,207.75,209.5,204.26,0.84%,"5,700"
"Aug 6, 2025",210,210,205,207.75,202.56,-0.48%,"310,500"
"Aug 5, 2025",210,210,205,208.75,203.53,-0.48%,"216,700"
"Aug 4, 2025",215,215,205,209.75,204.51,-0.24%,"173,800"
"Aug 1, 2025",220,220,207,210.25,204.99,-0.24%,"108,300"
"Jul 31, 2025",226,226,206.5,210.75,205.48,-6.75%,"254,600"
"Jul 30, 2025",230,244,220,226,220.35,0.89%,"205,700"
"Jul 29, 2025",216,227.5,212,224,218.4,8.21%,"106,500"
"Jul 28, 2025",196,215.75,195,207,201.83,5.48%,"169,800"
"Jul 25, 2025",195.25,200,195,196.25,191.34,-0.88%,"11,400"
"Jul 24, 2025",200,202,194,198,193.05,-0.13%,"163,100"
"Jul 23, 2025",193,200,191.25,198.25,193.29,2.72%,"10,500"
"Jul 22, 2025",191,203,190.5,193,188.18,-1.53%,"2,100"
"Jul 21, 2025",195,206.25,195,196,191.1,0.90%,"13,100"
"Jul 18, 2025",195,202.5,190.25,194.25,189.39,-2.63%,"6,700"
"Jul 17, 2025",200,204,191.5,199.5,194.51,-4.20%,"13,700"
"Jul 16, 2025",200,209,200,208.25,203.04,0.97%,"20,100"
"Jul 15, 2025",210,210,205,206.25,201.09,-1.32%,"1,500"
"Jul 14, 2025",209,210,202,209,203.78,-1.30%,"9,900"
"Jul 11, 2025",207.5,213,200,211.75,206.46,0.59%,"98,300"
"Jul 10, 2025",205,215,204.5,210.5,205.24,3.69%,"175,500"
"Jul 9, 2025",197,205,197,203,197.93,1.37%,"107,800"
"Jul 8, 2025",195,205,195,200.25,195.24,3.49%,"176,500"
"Jul 7, 2025",190,195,190,193.5,188.66,1.18%,"6,800"
"Jul 4, 2025",190,194,190,191.25,186.47,0.66%,"4,500"
"Jul 3, 2025",187.5,194,187.5,190,185.25,1.33%,"2,300"
"Jul 2, 2025",190,190,186.5,187.5,182.81,0.54%,"1,800"
"Jul 1, 2025",190,194.75,185,186.5,181.84,1.08%,"1,400"
"Jun 30, 2025",189.75,190,184,184.5,179.89,-0.81%,"23,400"
"Jun 27, 2025",182.5,190,182,186,181.35,0.54%,"45,600"
"Jun 26, 2025",185,185,184.75,185,180.38,-2.37%,"27,600"
"Jun 25, 2025",189,190,189,189.5,184.76,-,500
"Jun 24, 2025",181.25,190,181.25,189.5,184.76,4.55%,"147,100"
"Jun 23, 2025",186,186,181,181.25,176.72,-2.03%,"6,200"
"Jun 20, 2025",186.5,186.5,181,185,180.38,1.37%,"6,300"
"Jun 19, 2025",183.25,186.5,182,182.5,177.94,-1.35%,"6,000"
"Jun 18, 2025",185,186.25,183,185,180.38,-0.67%,"170,000"
"Jun 17, 2025",185,189,185,186.25,181.59,2.05%,"158,100"
"Jun 16, 2025",182.25,190,182,182.5,177.94,0.83%,"109,300"
"Jun 13, 2025",181,181.25,181,181,176.48,-0.14%,"2,100"
"Jun 12, 2025",181.25,182,181,181.25,176.72,0.42%,"4,300"
"Jun 11, 2025",184,187.75,180,180.5,175.99,-3.09%,"87,000"
"Jun 10, 2025",189,189,186,186.25,181.59,3.47%,"3,300"
"Jun 9, 2025",180,189,180,180,175.5,0.14%,"1,820,800"
"Jun 5, 2025",180,180,179,179.75,175.26,-0.14%,"2,600"
"Jun 4, 2025",183,183,178,180,175.5,3.45%,"386,800"
"Jun 3, 2025",180,183,173,174,169.65,-3.06%,"11,100"
"May 30, 2025",183,183,178,179.5,175.01,-1.91%,"10,700"
"May 29, 2025",183,184,183,183,178.43,1.67%,"3,300"
"May 28, 2025",180,180,180,180,175.5,-2.70%,800
"May 27, 2025",190,190,180,185,180.38,-3.39%,200
"May 26, 2025",191,192,180,191.5,186.71,0.92%,"213,400"
"May 23, 2025",191,191,182.75,189.75,185.01,1.20%,"30,200"
"May 22, 2025",190,190,180,187.5,182.81,-2.34%,"21,200"
"May 21, 2025",190,192,188.75,192,187.2,1.05%,"255,700"
"May 20, 2025",190,191,180,190,185.25,0.66%,"50,400"
"May 19, 2025",192,192,180,188.75,184.03,-1.69%,"8,700"
"May 16, 2025",190,192,190,192,187.2,-,"505,300"
"May 15, 2025",178,195,178,192,187.2,0.66%,"293,600"
"May 14, 2025",187,192,180,190.75,185.98,7.01%,"190,300"
"May 13, 2025",178,184,175,178.25,173.79,1.86%,"703,500"
"May 12, 2025",175,175,175,175,170.63,0.43%,"2,000"
"May 9, 2025",172,175,172,174.25,169.89,2.05%,"35,900"
"May 8, 2025",172,172,168,170.75,166.48,-0.15%,"36,800"
"May 7, 2025",174,174,170,171,166.73,-0.29%,"164,500"
"May 6, 2025",170.25,172,170,171.5,167.21,0.73%,"1,045,300"
"May 5, 2025",170.25,174,170,170.25,165.99,-0.87%,"11,900"
"May 2, 2025",174,174,170.25,171.75,167.46,-1.29%,"4,100"
"Apr 30, 2025",174.75,174.75,174,174,169.65,-,"2,417,100"
"Apr 29, 2025",174,174,170,174,169.65,2.20%,"1,499,100"
"Apr 28, 2025",174.75,174.75,170,170.25,165.99,-0.29%,"2,700"
"Apr 25, 2025",174,175,169,170.75,166.48,-2.01%,"2,200"
"Apr 24, 2025",173.75,175,173.75,174.25,169.89,3.72%,"5,000"
"Apr 23, 2025",170,170,167,168,163.8,-1.18%,"21,600"
"Apr 22, 2025",170,170,170,170,165.75,-,"111,500"
"Apr 17, 2025",173,173,168.25,170,165.75,-4.49%,"342,500"
"Apr 16, 2025",178.75,179,172.25,178,173.55,-0.56%,"8,700"
"Apr 15, 2025",179.5,180,174,179,174.53,-0.42%,"3,100"
"Apr 14, 2025",180,180,178,179.75,175.26,-0.28%,"12,300"
"Apr 11, 2025",180,184,180,180.25,175.74,0.28%,"2,800"
"Apr 10, 2025",180,180,175,179.75,175.26,-0.14%,"3,800"
"Apr 9, 2025",185,185,178,180,175.5,-2.96%,"136,800"
"Apr 8, 2025",185,185.75,180.25,185.5,180.86,0.13%,"97,500"
"Apr 7, 2025",186,186,185.25,185.25,180.62,-0.27%,"160,500"
"Apr 4, 2025",189,190,185,185.75,181.11,2.34%,"2,300"
"Apr 3, 2025",181,189,181,181.5,176.96,-1.63%,"2,700"
"Apr 2, 2025",180,189,180,184.5,179.89,2.50%,"26,700"
"Apr 1, 2025",184,184,180,180,175.5,-,"11,100"
"Mar 28, 2025",180,184.75,180,180,175.5,-,"64,300"
"Mar 27, 2025",184.75,184.75,180,180,175.5,-0.69%,"60,200"
"Mar 26, 2025",180,185,180,181.25,176.72,4.92%,"352,000"
"Mar 25, 2025",180,180,170,172.75,168.43,-2.68%,"124,700"
"Mar 24, 2025",188,188,167,177.5,173.06,-4.18%,"5,600"
"Mar 21, 2025",188,190,185,185.25,180.62,-,"6,200"
"Mar 20, 2025",190,190,185,185.25,180.62,-2.50%,"1,500"
"Mar 19, 2025",190,191,190,190,185.25,1.60%,"157,200"
"Mar 18, 2025",186,189.75,186,187,182.33,0.54%,700
"Mar 17, 2025",185.75,191,185.75,186,181.35,0.27%,"41,000"
"Mar 14, 2025",185,191,185,185.5,180.86,-1.98%,"19,600"
"Mar 13, 2025",185.5,190,185.5,189.25,184.52,1.34%,"51,800"
"Mar 12, 2025",186,189,185.75,186.75,182.08,0.54%,"177,400"
"Mar 11, 2025",185.5,187,185.5,185.75,181.11,0.41%,"134,900"
"Mar 10, 2025",187,187,185,185,180.38,-2.50%,"4,500"
"Mar 7, 2025",193.75,193.75,183.5,189.75,185.01,-2.06%,"34,800"
"Mar 6, 2025",194,194,183.5,193.75,188.91,3.20%,"21,200"
"Mar 5, 2025",195,195,185,187.75,183.06,0.54%,"2,300"
"Mar 4, 2025",186,195,185,186.75,182.08,-,"33,400"
"Mar 3, 2025",188,189,185,186.75,182.08,0.95%,"1,500"
"Feb 28, 2025",185,185,185,185,180.38,-0.40%,100
"Feb 27, 2025",185.25,195,185,185.75,181.11,-2.11%,"386,500"
"Feb 26, 2025",190,191,185,189.75,185.01,-,"8,300"
"Feb 25, 2025",189,190,185,189.75,185.01,1.74%,"267,100"
"Feb 24, 2025",183,188.5,183,186.5,181.84,1.50%,800
"Feb 21, 2025",184,191,183.25,183.75,176.72,-4.67%,"29,900"
"Feb 20, 2025",192,193,184,192.75,185.37,-0.13%,"54,300"
"Feb 19, 2025",190,195,190,193,185.61,0.52%,"76,500"
"Feb 18, 2025",185,193,183,192,184.65,2.13%,"99,400"
"Feb 17, 2025",189,189,187,188,180.81,0.40%,600
"Feb 14, 2025",188,190,185,187.25,180.08,1.49%,500
"Feb 13, 2025",185,185,181,184.5,177.44,-2.77%,"1,700"
"Feb 12, 2025",189,190,181,189.75,182.49,2.57%,"76,400"
"Feb 11, 2025",189,189,185,185,177.92,-0.94%,"42,300"
"Feb 10, 2025",190,190,184,186.75,179.6,1.63%,"5,100"
"Feb 7, 2025",182,186,182,183.75,176.72,-,"3,900"
"Feb 6, 2025",180,185,180,183.75,176.72,2.65%,"199,500"
"Feb 5, 2025",172,182,165,179,172.15,-0.28%,"129,000"
"Feb 4, 2025",180,182,175,179.5,172.63,0.14%,"17,100"
"Feb 3, 2025",180,182,175,179.25,172.39,-0.69%,"8,600"
"Jan 31, 2025",184,185,180,180.5,173.59,-5.50%,"7,400"
"Jan 30, 2025",194,194,185,191,183.69,-2.05%,300
"Jan 29, 2025",194,195,192,195,187.54,0.52%,"358,100"
"Jan 28, 2025",195,198,181,194,186.58,0.26%,"504,000"
"Jan 27, 2025",198.25,198.25,193.25,193.5,186.1,0.13%,"8,200"
"Jan 24, 2025",180.5,198,180.5,193.25,185.86,1.98%,"551,800"
"Jan 23, 2025",183,198.25,183,189.5,182.25,2.57%,"62,300"
"Jan 22, 2025",184,185,181,184.75,177.68,0.96%,"18,100"
"Jan 21, 2025",182,187,182,183,176,1.53%,"137,200"
"Jan 20, 2025",185,185,180,180.25,173.35,-,"34,500"
"Jan 17, 2025",178.25,181,178.25,180.25,173.35,0.14%,"22,300"
"Jan 16, 2025",179.5,188,177.25,180,173.11,1.41%,"1,341,800"
"Jan 15, 2025",179,179,176.25,177.5,170.71,-0.56%,"5,200"
"Jan 14, 2025",179.5,179.5,175.25,178.5,171.67,1.56%,"1,700"
"Jan 13, 2025",179.5,179.5,175,175.75,169.02,-2.09%,"4,500"
"Jan 10, 2025",178,180,175,179.5,172.63,1.99%,"910,100"
"Jan 9, 2025",179,179,175,176,169.27,-1.95%,"3,600"
"Jan 8, 2025",179.75,179.75,175.25,179.5,172.63,0.98%,"540,600"
"Jan 7, 2025",177,180,175,177.75,170.95,-0.70%,"79,900"
"Jan 6, 2025",176.5,188,176,179,172.15,1.42%,"312,000"
"Jan 3, 2025",180,187.75,175,176.5,169.75,0.57%,"2,800"